IDTransacción;ClaveFecha;IDCliente;IDProducto;IDTienda;Cantidad;Descuento;MetodoPago
T03636;19/01/2025;C185;P013;S004;1;0;Credit Card
T03637;9/07/2024;C184;P004;S005;5;0.1;Credit Card
T03638;17/09/2024;C200;P036;S005;4;0;Cash
T03639;9/04/2025;C059;P050;S004;1;0.05;Bank Transfer
T03640;10/06/2025;C049;P035;S004;3;0.1;Bank Transfer
T03641;18/11/2023;C100;P046;S003;2;0.05;Cash
T03642;30/04/2024;C067;P025;S001;2;0;Credit Card
T03643;29/12/2023;C124;P013;S001;4;0;Bank Transfer
T03644;22/11/2024;C158;P041;S002;4;0.05;Mobile Money
T03645;17/07/2024;C072;P036;S001;2;0;Mobile Money
T03646;17/10/2024;C185;P007;S001;4;0.15;Cash
T03647;29/03/2024;C106;P014;S002;2;0.05;Bank Transfer
T03648;21/09/2023;C136;P024;S001;3;0.1;Bank Transfer
T03649;18/02/2024;C041;P003;S001;2;0.1;Cash
T03650;22/09/2024;C064;P029;S001;1;0;Bank Transfer
T03651;14/01/2024;C104;P034;S004;5;0.15;Bank Transfer
T03652;14/05/2024;C109;P008;S003;5;0;Bank Transfer
T03653;6/09/2024;C114;P043;S005;3;0.1;Bank Transfer
T03654;26/01/2025;C109;P008;S002;2;0.1;Mobile Money
T03655;29/01/2025;C028;P047;S002;3;0.15;Mobile Money
T03656;24/09/2024;C001;P026;S001;1;0;Cash
T03657;29/08/2025;C132;P046;S001;1;0.05;Cash
T03658;30/07/2025;C189;P039;S004;5;0.05;Cash
T03659;4/02/2024;C116;P007;S004;3;0;Mobile Money
T03660;12/05/2025;C042;P042;S004;5;0;Cash
T03661;21/07/2024;C133;P042;S001;3;0.15;Cash
T03662;8/06/2024;C038;P029;S005;1;0;Bank Transfer
T03663;15/06/2024;C181;P050;S001;4;0;Credit Card
T03664;31/07/2024;C131;P032;S001;4;0.15;Cash
T03665;26/05/2025;C064;P023;S001;4;0.05;Bank Transfer
T03666;5/10/2023;C021;P038;S001;3;0.1;Bank Transfer
T03667;1/10/2023;C126;P042;S003;2;0.15;Credit Card
T03668;18/05/2025;C030;P015;S002;1;0;Mobile Money
T03669;12/02/2024;C047;P046;S003;5;0.1;Mobile Money
T03670;7/01/2025;C110;P028;S004;5;0.1;Mobile Money
T03671;15/08/2025;C008;P048;S002;1;0;Bank Transfer
T03672;26/09/2024;C051;P035;S002;5;0.15;Credit Card
T03673;21/06/2025;C113;P022;S003;4;0.15;Mobile Money
T03674;21/05/2025;C039;P026;S001;3;0;Credit Card
T03675;22/11/2024;C036;P003;S004;1;0;Cash
T03676;13/08/2024;C069;P039;S004;4;0.15;Cash
T03677;30/10/2024;C080;P032;S003;5;0;Cash
T03678;15/03/2024;C030;P014;S001;4;0.15;Mobile Money
T03679;2/03/2025;C032;P029;S003;1;0;Bank Transfer
T03680;1/12/2023;C150;P018;S002;5;0;Bank Transfer
T03681;14/04/2025;C147;P029;S001;3;0.05;Cash
T03682;21/08/2024;C082;P025;S002;1;0.1;Cash
T03683;27/10/2024;C151;P015;S003;5;0.15;Mobile Money
T03684;21/04/2025;C156;P048;S005;4;0.05;Cash
T03685;6/07/2025;C051;P028;S004;5;0.15;Cash
T03686;20/06/2025;C107;P048;S004;5;0.1;Cash
T03687;11/03/2024;C106;P016;S004;1;0.05;Credit Card
T03688;27/09/2023;C125;P036;S003;1;0.15;Mobile Money
T03689;16/06/2025;C147;P013;S003;2;0.05;Credit Card
T03690;23/06/2025;C196;P045;S003;4;0.05;Credit Card
T03691;1/02/2025;C189;P019;S005;5;0.1;Cash
T03692;15/01/2025;C157;P003;S004;1;0;Bank Transfer
T03693;11/10/2024;C043;P028;S004;2;0;Credit Card
T03694;24/04/2025;C120;P050;S001;5;0.15;Credit Card
T03695;14/03/2025;C028;P028;S001;4;0;Credit Card
T03696;5/04/2024;C170;P021;S001;3;0;Cash
T03697;9/01/2024;C061;P007;S003;5;0.15;Credit Card
T03698;20/01/2025;C029;P045;S001;4;0;Bank Transfer
T03699;7/03/2025;C170;P022;S005;1;0;Mobile Money
T03700;25/12/2023;C067;P002;S003;5;0.05;Credit Card
T03701;18/09/2023;C195;P048;S001;4;0.1;Credit Card
T03702;13/10/2024;C147;P026;S004;5;0.1;Mobile Money
T03703;17/12/2023;C003;P046;S005;2;0;Cash
T03704;11/01/2025;C067;P024;S005;1;0.15;Mobile Money
T03705;17/02/2024;C082;P026;S004;1;0.05;Credit Card
T03706;29/09/2023;C098;P047;S005;1;0.1;Mobile Money
T03707;8/02/2024;C024;P001;S001;2;0.15;Bank Transfer
T03708;14/08/2024;C043;P011;S005;4;0.05;Mobile Money
T03709;2/07/2025;C186;P044;S004;5;0.15;Cash
T03710;8/01/2025;C069;P016;S001;5;0.1;Credit Card
T03711;21/11/2024;C183;P028;S001;3;0;Mobile Money
T03712;14/09/2024;C029;P009;S003;4;0;Mobile Money
T03713;26/11/2024;C142;P032;S002;2;0.15;Bank Transfer
T03714;5/07/2025;C173;P046;S005;5;0.05;Bank Transfer
T03715;16/06/2025;C186;P047;S004;3;0;Mobile Money
T03716;31/12/2023;C149;P012;S004;2;0.1;Cash
T03717;27/09/2023;C155;P018;S004;3;0.15;Mobile Money
T03718;18/01/2025;C140;P026;S002;3;0.15;Cash
T03719;18/06/2025;C069;P030;S004;5;0.1;Credit Card
T03720;18/03/2025;C017;P037;S004;1;0.05;Bank Transfer
T03721;16/03/2025;C027;P003;S004;2;0.05;Bank Transfer
T03722;30/08/2024;C149;P008;S002;4;0.1;Credit Card
T03723;2/09/2025;C001;P014;S005;5;0.05;Bank Transfer
T03724;18/07/2025;C137;P045;S004;5;0.05;Cash
T03725;21/02/2024;C112;P047;S002;3;0.15;Mobile Money
T03726;3/11/2024;C039;P011;S005;4;0;Mobile Money
T03727;16/10/2024;C006;P010;S005;1;0;Bank Transfer
T03728;10/02/2025;C019;P044;S002;1;0.05;Bank Transfer
T03729;28/05/2024;C170;P037;S005;2;0.05;Mobile Money
T03730;23/06/2025;C028;P040;S002;2;0.15;Mobile Money
T03731;6/11/2024;C001;P010;S003;2;0.05;Cash
T03732;9/02/2025;C066;P034;S003;5;0;Mobile Money
T03733;2/08/2025;C086;P047;S001;2;0.1;Bank Transfer
T03734;9/09/2025;C193;P028;S003;4;0.05;Bank Transfer
T03735;10/12/2023;C032;P005;S005;1;0.15;Bank Transfer
T03736;7/03/2024;C167;P040;S001;2;0.1;Bank Transfer
T03737;24/12/2023;C008;P032;S005;4;0.15;Cash
T03738;30/09/2023;C121;P042;S004;1;0.05;Bank Transfer
T03739;12/08/2024;C153;P049;S005;5;0;Cash
T03740;21/05/2024;C103;P029;S004;5;0.05;Cash
T03741;15/05/2025;C070;P013;S001;4;0.1;Mobile Money
T03742;22/05/2024;C133;P027;S001;2;0.1;Credit Card
T03743;20/10/2024;C101;P015;S004;3;0.15;Credit Card
T03744;27/06/2024;C179;P002;S005;4;0.15;Bank Transfer
T03745;8/01/2025;C130;P037;S004;5;0.1;Cash
T03746;23/06/2025;C084;P023;S003;5;0.1;Bank Transfer
T03747;7/10/2023;C169;P031;S001;1;0;Credit Card
T03748;13/08/2025;C185;P023;S005;2;0;Mobile Money
T03749;5/06/2024;C093;P013;S002;4;0;Bank Transfer
T03750;29/01/2025;C030;P038;S001;4;0;Mobile Money
T03751;21/12/2024;C175;P023;S001;2;0.15;Credit Card
T03752;11/06/2024;C108;P008;S003;2;0.15;Credit Card
T03753;12/05/2025;C026;P031;S005;5;0.1;Bank Transfer
T03754;19/07/2025;C096;P027;S005;1;0.15;Mobile Money
T03755;23/12/2024;C002;P029;S001;1;0.1;Credit Card
T03756;15/03/2024;C077;P035;S005;5;0.1;Credit Card
T03757;11/02/2024;C013;P031;S003;4;0.15;Bank Transfer
T03758;14/02/2025;C190;P030;S005;5;0.15;Mobile Money
T03759;18/11/2023;C128;P048;S004;1;0.1;Mobile Money
T03760;13/04/2024;C068;P023;S002;1;0.1;Bank Transfer
T03761;12/11/2024;C109;P005;S003;4;0.15;Bank Transfer
T03762;26/05/2025;C138;P044;S001;5;0.15;Bank Transfer
T03763;9/04/2024;C197;P005;S003;2;0.05;Cash
T03764;1/07/2025;C109;P001;S002;2;0.1;Bank Transfer
T03765;6/08/2025;C104;P040;S004;2;0.05;Mobile Money
T03766;2/11/2023;C087;P039;S003;1;0;Mobile Money
T03767;7/09/2025;C162;P027;S003;5;0.1;Credit Card
T03768;23/06/2025;C014;P022;S001;4;0.05;Credit Card
T03769;3/11/2023;C031;P033;S002;2;0.1;Credit Card
T03770;15/03/2025;C196;P017;S004;4;0.15;Mobile Money
T03771;18/08/2024;C080;P030;S004;2;0.1;Cash
T03772;5/01/2024;C100;P049;S001;1;0;Credit Card
T03773;24/04/2024;C072;P027;S001;1;0.1;Bank Transfer
T03774;22/07/2024;C137;P029;S005;4;0;Cash
T03775;3/01/2025;C195;P013;S005;1;0;Mobile Money
T03776;21/05/2025;C151;P027;S005;4;0.15;Mobile Money
T03777;9/05/2024;C144;P021;S002;2;0;Credit Card
T03778;6/02/2025;C148;P048;S005;3;0.15;Cash
T03779;19/11/2023;C070;P004;S004;2;0.15;Bank Transfer
T03780;28/03/2024;C043;P034;S004;1;0.05;Cash
T03781;31/03/2024;C043;P005;S001;2;0.1;Credit Card
T03782;8/06/2025;C189;P029;S004;3;0.05;Mobile Money
T03783;24/09/2024;C089;P046;S005;4;0;Mobile Money
T03784;26/12/2023;C142;P019;S003;2;0.1;Bank Transfer
T03785;8/09/2025;C132;P022;S002;3;0.05;Cash
T03786;30/03/2025;C172;P043;S005;2;0.1;Bank Transfer
T03787;4/02/2025;C093;P042;S003;1;0;Mobile Money
T03788;11/04/2025;C066;P017;S003;3;0.1;Mobile Money
T03789;22/11/2023;C087;P042;S002;2;0;Cash
T03790;27/03/2025;C036;P028;S002;2;0.15;Bank Transfer
T03791;29/03/2025;C198;P013;S005;5;0.15;Cash
T03792;16/01/2025;C116;P031;S004;4;0.05;Credit Card
T03793;10/03/2025;C171;P046;S003;2;0.15;Credit Card
T03794;17/08/2024;C008;P021;S002;5;0.15;Credit Card
T03795;8/01/2025;C019;P001;S004;3;0;Cash
T03796;26/09/2023;C018;P018;S005;4;0.05;Cash
T03797;19/12/2024;C066;P022;S003;2;0;Mobile Money
T03798;26/07/2024;C156;P039;S002;3;0.05;Bank Transfer
T03799;25/06/2024;C160;P006;S002;3;0.05;Bank Transfer
T03800;20/12/2023;C004;P019;S001;1;0;Mobile Money
T03801;18/12/2024;C113;P041;S004;5;0.1;Cash
T03802;2/11/2024;C109;P034;S003;2;0.1;Bank Transfer
T03803;19/05/2024;C066;P016;S003;3;0.1;Mobile Money
T03804;14/05/2025;C014;P019;S005;2;0.1;Cash
T03805;14/02/2024;C122;P024;S005;5;0.05;Mobile Money
T03806;30/01/2025;C181;P046;S005;1;0;Bank Transfer
T03807;21/11/2023;C062;P045;S005;1;0.05;Mobile Money
T03808;2/12/2023;C129;P024;S005;3;0.15;Mobile Money
T03809;23/12/2024;C151;P022;S005;5;0.05;Cash
T03810;7/10/2023;C079;P036;S003;4;0.05;Mobile Money
T03811;4/07/2025;C027;P046;S003;4;0.05;Bank Transfer
T03812;15/10/2024;C097;P011;S002;1;0;Mobile Money
T03813;19/01/2024;C182;P048;S003;2;0.1;Credit Card
T03814;30/11/2023;C053;P005;S005;2;0.15;Credit Card
T03815;11/09/2023;C134;P007;S002;2;0;Credit Card
T03816;7/04/2024;C029;P042;S005;4;0;Mobile Money
T03817;9/07/2024;C041;P004;S005;2;0.05;Cash
T03818;17/05/2024;C183;P049;S005;5;0.05;Credit Card
T03819;23/09/2023;C038;P045;S001;1;0;Cash
T03820;5/02/2025;C048;P029;S002;2;0;Cash
T03821;16/04/2024;C017;P002;S005;4;0.15;Mobile Money
T03822;15/09/2023;C098;P024;S001;1;0;Mobile Money
T03823;27/09/2024;C184;P042;S004;1;0;Cash
T03824;3/07/2024;C076;P003;S002;3;0.15;Cash
T03825;27/04/2025;C074;P013;S001;2;0.1;Bank Transfer
T03826;24/10/2024;C167;P008;S002;1;0;Mobile Money
T03827;26/03/2025;C071;P015;S004;5;0.05;Credit Card
T03828;20/10/2023;C081;P010;S003;4;0.1;Cash
T03829;15/02/2025;C009;P050;S001;2;0;Mobile Money
T03830;27/05/2024;C193;P015;S004;2;0;Bank Transfer
T03831;7/07/2025;C072;P004;S003;5;0.15;Mobile Money
T03832;30/10/2023;C020;P039;S003;1;0;Mobile Money
T03833;19/08/2024;C111;P021;S004;4;0.1;Cash
T03834;14/09/2023;C019;P032;S001;4;0.1;Bank Transfer
T03835;14/01/2024;C023;P036;S001;2;0.1;Cash
T03836;28/11/2024;C115;P013;S005;3;0;Mobile Money
T03837;6/10/2024;C158;P014;S005;3;0.15;Cash
T03838;16/01/2025;C134;P037;S005;1;0.1;Credit Card
T03839;6/04/2025;C111;P026;S004;5;0.05;Bank Transfer
T03840;9/08/2025;C142;P023;S002;4;0.15;Credit Card
T03841;10/06/2024;C100;P001;S005;4;0;Credit Card
T03842;13/05/2024;C139;P038;S004;5;0;Mobile Money
T03843;30/01/2024;C136;P031;S004;5;0;Bank Transfer
T03844;17/06/2024;C008;P032;S003;5;0.15;Credit Card
T03845;5/09/2024;C093;P019;S004;1;0.15;Mobile Money
T03846;9/07/2025;C006;P021;S005;2;0.05;Cash
T03847;9/01/2025;C023;P049;S002;4;0.1;Mobile Money
T03848;7/11/2023;C162;P027;S005;5;0.05;Mobile Money
T03849;29/03/2025;C004;P030;S003;1;0;Bank Transfer
T03850;14/03/2024;C036;P047;S001;4;0.1;Bank Transfer
T03851;20/01/2025;C131;P030;S003;1;0.15;Mobile Money
T03852;1/02/2024;C117;P023;S003;1;0.05;Mobile Money
T03853;31/07/2025;C076;P027;S004;5;0.05;Cash
T03854;27/02/2024;C025;P040;S005;5;0.05;Bank Transfer
T03855;4/01/2025;C024;P029;S005;5;0.15;Credit Card
T03856;8/06/2025;C112;P030;S003;2;0.05;Credit Card
T03857;8/04/2024;C155;P020;S004;3;0;Mobile Money
T03858;23/10/2024;C014;P008;S003;3;0.1;Credit Card
T03859;8/05/2025;C027;P045;S005;3;0.1;Bank Transfer
T03860;27/01/2024;C125;P039;S001;3;0.15;Credit Card
T03861;17/11/2024;C001;P009;S005;2;0.05;Bank Transfer
T03862;3/05/2025;C128;P035;S001;5;0;Cash
T03863;10/10/2024;C017;P012;S004;2;0.1;Mobile Money
T03864;31/03/2024;C071;P009;S001;4;0.05;Credit Card
T03865;2/12/2023;C035;P020;S003;4;0.05;Credit Card
T03866;17/09/2024;C144;P010;S005;3;0.1;Cash
T03867;19/11/2024;C015;P005;S001;4;0.05;Credit Card
T03868;19/12/2023;C177;P046;S003;4;0.05;Cash
T03869;31/03/2025;C035;P010;S004;1;0.15;Bank Transfer
T03870;25/03/2024;C002;P049;S004;1;0;Bank Transfer
T03871;16/07/2025;C144;P023;S001;1;0;Bank Transfer
T03872;1/09/2025;C001;P012;S005;2;0.15;Cash
T03873;10/05/2025;C169;P029;S001;3;0.05;Mobile Money
T03874;29/06/2025;C021;P010;S001;3;0.05;Mobile Money
T03875;15/12/2024;C014;P014;S005;2;0.05;Cash
T03876;29/12/2024;C009;P041;S004;1;0.15;Bank Transfer
T03877;6/09/2024;C175;P010;S001;1;0.15;Bank Transfer
T03878;15/06/2025;C180;P036;S001;5;0.1;Bank Transfer
T03879;30/07/2024;C179;P017;S003;2;0.05;Mobile Money
T03880;11/10/2023;C106;P034;S005;5;0.05;Mobile Money
T03881;30/11/2024;C089;P019;S002;5;0.1;Bank Transfer
T03882;16/07/2024;C121;P008;S001;4;0;Credit Card
T03883;5/10/2024;C122;P036;S002;3;0;Credit Card
T03884;7/05/2024;C198;P043;S001;1;0.1;Bank Transfer
T03885;3/10/2023;C012;P024;S002;3;0.15;Credit Card
T03886;3/10/2024;C176;P042;S002;1;0.15;Bank Transfer
T03887;11/04/2024;C055;P044;S003;4;0.1;Credit Card
T03888;3/04/2024;C087;P021;S002;4;0;Mobile Money
T03889;23/03/2025;C070;P010;S005;4;0;Mobile Money
T03890;13/01/2025;C115;P001;S002;5;0.05;Bank Transfer
T03891;2/03/2025;C077;P018;S005;5;0.05;Bank Transfer
T03892;21/05/2024;C046;P039;S003;2;0.15;Bank Transfer
T03893;23/05/2024;C104;P025;S002;5;0;Bank Transfer
T03894;22/02/2025;C086;P032;S001;4;0.15;Bank Transfer
T03895;28/06/2025;C181;P028;S001;4;0.1;Mobile Money
T03896;28/12/2024;C159;P016;S003;3;0;Bank Transfer
T03897;16/02/2024;C102;P022;S002;2;0.05;Cash
T03898;13/06/2024;C153;P045;S001;5;0.1;Bank Transfer
T03899;11/08/2025;C028;P037;S001;4;0.1;Cash
T03900;24/08/2025;C171;P009;S005;1;0.05;Cash
T03901;9/04/2025;C022;P006;S001;4;0.15;Cash
T03902;12/02/2025;C154;P021;S001;2;0.1;Bank Transfer
T03903;11/04/2024;C181;P013;S004;4;0;Credit Card
T03904;26/12/2023;C044;P045;S001;4;0.1;Credit Card
T03905;28/06/2025;C081;P029;S003;1;0.05;Cash
T03906;5/11/2024;C022;P021;S002;2;0.15;Bank Transfer
T03907;12/10/2023;C145;P034;S003;1;0;Credit Card
T03908;8/07/2024;C107;P011;S001;1;0.1;Cash
T03909;2/12/2023;C087;P035;S002;2;0.1;Bank Transfer
T03910;12/08/2024;C113;P028;S005;3;0;Mobile Money
T03911;29/01/2024;C073;P035;S001;4;0;Mobile Money
T03912;30/11/2024;C181;P024;S002;2;0.15;Cash
T03913;3/03/2024;C091;P003;S005;3;0;Credit Card
T03914;20/07/2024;C171;P023;S001;1;0;Mobile Money
T03915;9/12/2023;C074;P024;S005;2;0.1;Cash
T03916;20/02/2025;C053;P033;S005;1;0;Bank Transfer
T03917;28/09/2023;C090;P012;S002;1;0.05;Mobile Money
T03918;2/04/2025;C012;P050;S005;5;0.1;Cash
T03919;22/11/2024;C019;P028;S005;3;0;Credit Card
T03920;2/08/2025;C168;P025;S003;5;0.05;Bank Transfer
T03921;6/01/2025;C089;P038;S002;3;0.1;Credit Card
T03922;19/11/2024;C012;P031;S003;4;0;Cash
T03923;6/10/2023;C016;P017;S004;4;0;Cash
T03924;7/01/2025;C102;P002;S005;4;0;Cash
T03925;5/04/2024;C140;P033;S004;4;0.15;Bank Transfer
T03926;19/04/2024;C012;P012;S002;4;0.1;Credit Card
T03927;15/08/2025;C184;P016;S002;2;0.1;Bank Transfer
T03928;23/06/2025;C149;P004;S003;2;0;Cash
T03929;5/11/2023;C101;P010;S004;4;0.15;Credit Card
T03930;21/12/2023;C086;P043;S003;1;0.05;Credit Card
T03931;3/03/2025;C163;P036;S003;1;0;Mobile Money
T03932;15/08/2025;C055;P037;S004;3;0.1;Credit Card
T03933;1/04/2024;C101;P026;S002;3;0;Mobile Money
T03934;15/05/2025;C138;P042;S003;2;0;Credit Card
T03935;6/02/2024;C170;P030;S005;2;0.05;Credit Card
T03936;17/02/2025;C079;P050;S003;1;0;Cash
T03937;9/11/2023;C189;P015;S001;5;0;Mobile Money
T03938;26/11/2024;C174;P032;S001;3;0.05;Cash
T03939;9/01/2025;C164;P018;S005;5;0.15;Bank Transfer
T03940;12/08/2024;C063;P030;S001;2;0;Cash
T03941;11/02/2024;C099;P045;S004;4;0.05;Credit Card
T03942;21/02/2025;C158;P001;S001;3;0.1;Mobile Money
T03943;10/12/2024;C086;P024;S005;5;0.15;Bank Transfer
T03944;13/02/2025;C145;P033;S002;1;0.05;Mobile Money
T03945;14/01/2024;C080;P019;S002;4;0;Credit Card
T03946;16/11/2023;C062;P034;S004;2;0;Credit Card
T03947;22/02/2024;C118;P032;S003;3;0.05;Cash
T03948;23/07/2024;C066;P032;S004;4;0;Credit Card
T03949;13/06/2024;C001;P025;S004;1;0;Bank Transfer
T03950;2/01/2024;C042;P050;S002;5;0;Credit Card
T03951;9/12/2023;C049;P039;S004;2;0;Credit Card
T03952;8/02/2025;C018;P041;S003;5;0;Mobile Money
T03953;14/10/2023;C186;P003;S001;3;0;Mobile Money
T03954;2/11/2023;C028;P042;S001;5;0.15;Credit Card
T03955;7/12/2024;C138;P032;S003;3;0;Bank Transfer
T03956;6/11/2024;C146;P049;S004;4;0.05;Cash
T03957;20/01/2025;C098;P018;S005;5;0;Cash
T03958;20/04/2025;C193;P013;S003;2;0.15;Credit Card
T03959;16/12/2024;C018;P026;S005;4;0.05;Mobile Money
T03960;20/02/2024;C045;P028;S005;3;0.1;Bank Transfer
T03961;11/12/2023;C014;P012;S001;5;0.05;Credit Card
T03962;1/02/2024;C185;P027;S004;2;0;Cash
T03963;11/06/2024;C046;P005;S005;2;0.1;Credit Card
T03964;31/07/2024;C161;P016;S002;2;0.05;Cash
T03965;18/10/2024;C065;P023;S001;3;0.1;Mobile Money
T03966;6/07/2024;C072;P024;S002;2;0;Cash
T03967;10/10/2024;C108;P004;S003;5;0.05;Cash
T03968;25/04/2025;C173;P003;S002;1;0.05;Cash
T03969;29/11/2023;C163;P026;S002;1;0.1;Credit Card
T03970;3/04/2024;C057;P027;S002;2;0.15;Mobile Money
T03971;14/12/2023;C092;P029;S002;1;0.05;Bank Transfer
T03972;15/07/2025;C184;P023;S002;1;0.05;Cash
T03973;9/09/2024;C107;P045;S003;1;0.15;Bank Transfer
T03974;9/12/2023;C102;P014;S002;1;0;Bank Transfer
T03975;14/05/2025;C184;P020;S005;2;0.15;Mobile Money
T03976;3/07/2025;C118;P036;S003;4;0;Credit Card
T03977;26/05/2024;C034;P040;S001;1;0.05;Cash
T03978;13/02/2025;C107;P017;S001;4;0.1;Mobile Money
T03979;17/02/2024;C156;P019;S001;2;0.05;Cash
T03980;24/02/2025;C008;P035;S003;2;0.1;Cash
T03981;25/09/2024;C159;P031;S004;4;0.05;Credit Card
T03982;19/06/2024;C146;P013;S001;2;0;Mobile Money
T03983;25/04/2025;C125;P019;S001;5;0;Bank Transfer
T03984;14/02/2024;C104;P039;S005;3;0.15;Mobile Money
T03985;17/09/2023;C118;P015;S001;4;0.05;Mobile Money
T03986;7/07/2024;C040;P024;S001;5;0.15;Bank Transfer
T03987;20/02/2025;C093;P041;S001;3;0.1;Bank Transfer
T03988;5/10/2024;C077;P037;S001;4;0.15;Mobile Money
T03989;31/07/2025;C051;P041;S003;5;0.05;Credit Card
T03990;16/03/2025;C146;P010;S004;3;0;Bank Transfer
T03991;30/03/2024;C166;P019;S005;4;0.05;Mobile Money
T03992;7/03/2025;C049;P037;S002;2;0.15;Credit Card
T03993;1/04/2024;C112;P031;S001;1;0.1;Credit Card
T03994;28/10/2023;C066;P012;S002;4;0.05;Bank Transfer
T03995;27/12/2023;C168;P006;S005;3;0.1;Credit Card
T03996;12/02/2025;C026;P029;S005;5;0;Mobile Money
T03997;22/05/2024;C153;P031;S005;1;0.15;Credit Card
T03998;8/01/2024;C164;P033;S002;3;0;Mobile Money
T03999;3/02/2025;C068;P014;S002;2;0.1;Credit Card
T04000;8/04/2025;C035;P031;S003;4;0.05;Bank Transfer
T04001;22/03/2024;C171;P028;S001;3;0.05;Credit Card
T04002;6/07/2025;C063;P026;S003;2;0;Credit Card
T04003;13/08/2024;C020;P008;S001;3;0.15;Mobile Money
T04004;2/08/2024;C008;P004;S003;3;0.1;Mobile Money
T04005;3/06/2025;C200;P014;S004;5;0.1;Mobile Money
T04006;1/04/2025;C085;P047;S004;4;0.1;Bank Transfer
T04007;4/12/2023;C052;P033;S003;2;0.15;Bank Transfer
T04008;1/06/2024;C145;P015;S004;3;0.15;Mobile Money
T04009;14/07/2024;C187;P037;S005;5;0.15;Cash
T04010;6/08/2024;C111;P046;S002;3;0.05;Cash
T04011;6/11/2024;C046;P046;S003;3;0.1;Cash
T04012;19/10/2023;C138;P018;S001;5;0.1;Bank Transfer
T04013;13/02/2025;C131;P043;S001;3;0.05;Mobile Money
T04014;18/05/2024;C153;P049;S002;3;0.1;Mobile Money
T04015;29/07/2024;C102;P049;S003;4;0.05;Cash
T04016;25/08/2025;C062;P009;S001;4;0.1;Credit Card
T04017;2/01/2025;C062;P040;S003;5;0;Bank Transfer
T04018;4/12/2023;C047;P024;S004;1;0.1;Cash
T04019;18/11/2023;C171;P023;S003;5;0.05;Credit Card
T04020;6/08/2024;C041;P017;S004;1;0.1;Bank Transfer
T04021;30/05/2024;C080;P032;S002;1;0.15;Mobile Money
T04022;4/07/2024;C057;P029;S004;2;0;Cash
T04023;16/04/2024;C008;P025;S005;1;0.15;Bank Transfer
T04024;22/09/2023;C043;P007;S002;1;0;Bank Transfer
T04025;16/11/2023;C187;P034;S005;4;0;Bank Transfer
T04026;14/11/2024;C082;P042;S002;2;0.1;Bank Transfer
T04027;11/12/2024;C190;P014;S002;4;0.15;Bank Transfer
T04028;3/06/2025;C069;P046;S004;1;0;Mobile Money
T04029;1/05/2024;C050;P036;S002;1;0.15;Bank Transfer
T04030;21/01/2024;C190;P040;S002;2;0.15;Mobile Money
T04031;6/11/2023;C116;P046;S002;5;0.15;Mobile Money
T04032;15/06/2025;C175;P011;S003;4;0.05;Credit Card
T04033;10/07/2024;C120;P039;S001;1;0.1;Cash
T04034;10/09/2023;C166;P034;S001;3;0.05;Mobile Money
T04035;16/06/2025;C138;P036;S001;1;0.1;Bank Transfer
T04036;11/03/2025;C167;P046;S005;1;0;Cash
T04037;14/04/2024;C039;P017;S004;2;0.05;Cash
T04038;7/11/2024;C080;P046;S002;3;0.15;Credit Card
T04039;22/09/2023;C031;P043;S004;1;0.1;Credit Card
T04040;20/02/2024;C147;P016;S001;2;0.15;Cash
T04041;21/01/2025;C127;P027;S002;1;0.05;Cash
T04042;13/01/2025;C051;P014;S004;5;0.1;Bank Transfer
T04043;4/12/2023;C182;P020;S002;5;0.15;Credit Card
T04044;10/02/2024;C185;P030;S001;5;0.05;Mobile Money
T04045;6/07/2024;C064;P030;S003;2;0.1;Bank Transfer
T04046;30/10/2024;C169;P040;S002;2;0.05;Credit Card
T04047;10/01/2025;C039;P030;S004;2;0.05;Credit Card
T04048;6/07/2025;C001;P004;S003;3;0.15;Credit Card
T04049;5/07/2025;C091;P001;S002;2;0.05;Mobile Money
T04050;20/05/2024;C110;P049;S001;5;0.1;Cash
T04051;6/04/2025;C121;P013;S004;1;0;Mobile Money
T04052;14/02/2025;C012;P023;S005;2;0.15;Mobile Money
T04053;13/07/2025;C031;P036;S005;2;0.05;Mobile Money
T04054;16/09/2024;C010;P037;S001;1;0.15;Cash
T04055;2/10/2024;C040;P017;S004;1;0.1;Credit Card
T04056;28/10/2024;C143;P014;S005;2;0;Mobile Money
T04057;3/04/2025;C171;P002;S004;3;0.1;Mobile Money
T04058;5/04/2024;C123;P001;S002;3;0.15;Bank Transfer
T04059;3/09/2024;C034;P014;S002;2;0.05;Credit Card
T04060;18/07/2024;C037;P027;S002;5;0;Cash
T04061;21/06/2024;C194;P034;S005;3;0.1;Credit Card
T04062;31/12/2024;C089;P005;S005;5;0.05;Credit Card
T04063;22/12/2024;C046;P015;S003;4;0;Mobile Money
T04064;18/09/2023;C047;P019;S005;3;0.05;Bank Transfer
T04065;5/12/2023;C168;P014;S001;4;0.05;Mobile Money
T04066;4/01/2024;C063;P011;S001;1;0;Bank Transfer
T04067;16/02/2025;C102;P040;S004;3;0;Credit Card
T04068;6/06/2024;C002;P006;S004;3;0.05;Bank Transfer
T04069;3/02/2025;C198;P035;S001;5;0.1;Credit Card
T04070;8/11/2023;C004;P037;S001;2;0.15;Credit Card
T04071;30/09/2023;C103;P039;S001;5;0.1;Mobile Money
T04072;27/01/2024;C059;P040;S005;4;0.1;Mobile Money
T04073;30/01/2024;C017;P042;S003;3;0.15;Cash
T04074;9/12/2023;C093;P023;S003;3;0;Credit Card
